,name,rating,title,review
0,prithvi,4.4 out of 5 stars,Worth every Rupee!,"Although I was skeptical from the time these earbuds had launched, finally getting them was indeed a revelation that I didn't think I needed! They are a great pair of wireless earbuds that offer excellent sound, great build quality, easy of use, and great compatibility. Seamless pairing with my IPhone and the features like auto pause and double tap are awesome! They fit in my ears well and don't feel like they would fall out (which was my biggest fear) even when I am jogging. To say that I am happy with this purchase at this price will be a gross UNDERSTATEMENT! Amazon as always amazed me with the ONE day delivery! Super happy! Thank you Team!"
1,vaibh,5.0 out of 5 stars,"Had Low Expectations, but It exceeded my Expectations","I used lot of Air buds different brands but was not happy with the sound quality ! Finally decided to switch to AirPods and the same was on offer for 10k ! Trust me the sound engineering Apple has done is irreplaceable!The pairing was smooth and easy, sounds quality in music and videos are next level ! Call quality is also too good all ! I really found what I needed and my trust on Apple has increased a lot ! I own iPad 6th generation, iPhone 13 and iPhone SE ! AirPods was new collection and it did make me happy !"
2,prithvi,3.0 out of 5 stars,The products sold by Amazon are always genuine. As authentic as Amazon.,Why doubt the genuineness of the product delivered by Amazon. I have been purchasing through Amazon ever since they started their operations in India. I have not had any issues regarding the authenticity of the product.If you doubt the genuineness of Apple products. There is a way to find its genuineness.Chat with Apple Support. Key in the Sr. No. and they will instantly confirm that the product is genuine.I did that today after receiving Apple AirPods 2nd generation.
3,Kanthu777,5.0 out of 5 stars,Over-all great balanced sound for vocals & instruments,Definitely the best of what is available today in market.  Have checked many brands. This one clearly brings all sounds to the fore without leaving anything and gives a pleasing & balanced output in a combined manner. Happy to purchase it. Enjoying listening to music with apple airpods. JBL live Pro 2 with a good neutral sounding comes next to my view. However top end sony airpods is typical and will be welcome by selective customers.
4,kamlesh shah,5.0 out of 5 stars,Worth buying,"It’s been 2 months I’m using,so far so good"
5,Livi,5.0 out of 5 stars,Poor quality product,"I bought & delivered it on 13-5-23 & was too much excited for the product , but it turned my expectation down…I opened the product & the one left earpiece was too working.. I tried to take technical support from customer care, however didn’t helped me to resolve my issue and told me that you need to visit the service centre ..on the very same day finally I visited the service centre all the way to Khar & upon checking the same they also kept the product with them & told me that they will revert me in 2-3 days regarding the issue & service of the AirPods..That’s pathetic..!!!It was worse experience ever..It was in offer of 10,000/- , however The same wasn’t worth..products are not checked & quality issue.."
6,Smita,5.0 out of 5 stars,Perfect for Apple Users,Improvement should cover some issues
7,vaibh,4.0 out of 5 stars,Perfect,Original Perfect
8,Deepak Palaria,3.0 out of 5 stars,Review,Good performance
9,akshay t.,4.0 out of 5 stars,iPod to good,Amazon has packed iPod box very well and securely delivered. Quality of AirPod is definitely excellent.
